Urban,Pop2010,OHU2010,PovertyRate,MedianFamilyIncome,TractLOWI,LA1and10
0,3879,1567,13.5,54595.0,1244.0,0
0,2373,949,31.1,42536.0,1209.0,1
0,1760,722,24.7,41202.0,757.0,0
0,998,377,21.5,49359.0,437.0,1
1,5515,2236,11.9,65053.0,1973.0,1
0,1329,572,31.5,48304.0,576.0,1
0,5488,2199,26.7,57450.0,1745.0,1
0,3493,1431,24.5,46500.0,1781.0,0
1,4230,1667,30.9,52440.0,1881.0,1
0,1289,497,33.4,47411.0,723.0,0
0,1731,636,44.4,40000.0,985.0,1
0,5324,2149,11.6,58917.0,2019.0,0
0,3224,1335,37.4,38298.0,1641.0,0
0,2904,1191,10.9,49679.0,1203.0,0
0,2480,995,19.4,47798.0,930.0,0
0,2684,1053,16.1,48333.0,1421.0,0
0,4202,1672,30.7,45810.0,2024.0,0
0,3419,1352,19.7,57857.0,1321.0,0
0,4667,1814,9.2,58696.0,1390.0,0
0,2057,828,21.9,51719.0,914.0,1
0,1841,765,13.7,64333.0,565.0,1
0,4258,1692,7.9,79167.0,1137.0,0
0,2152,871,15.7,50972.0,692.0,0
0,4558,1805,18.7,46454.0,2060.0,0
0,1561,630,19.5,47589.0,698.0,0
0,2286,898,13.7,65000.0,735.0,0
0,2840,1130,11.0,89091.0,570.0,0
0,2117,863,20.6,58274.0,1002.0,0
1,3526,1348,11.5,62829.0,1169.0,1
1,2026,839,26.6,44500.0,921.0,0
1,8036,3034,6.1,88794.0,1605.0,1
1,8530,3512,15.8,63511.0,2523.0,1
1,4160,1634,32.6,40909.0,2474.0,1
1,3467,1601,24.2,45659.0,1604.0,1
1,1957,875,22.8,39904.0,1067.0,0
1,2032,901,41.5,26111.0,1267.0,0
1,1530,632,4.8,68000.0,361.0,1
1,5221,2147,15.0,60304.0,2060.0,1
1,4128,1916,20.1,53381.0,1703.0,1
1,6103,2365,8.7,75395.0,1151.0,1
1,5175,2184,9.0,72096.0,1350.0,1
1,4321,1818,8.7,61750.0,1734.0,0
0,4487,1843,16.1,60361.0,1407.0,0
0,3766,1552,17.6,53091.0,1556.0,1
0,4327,1706,23.6,51025.0,1699.0,0
0,3972,1571,17.0,55042.0,1394.0,0
0,3942,1662,18.5,52721.0,1496.0,0
0,1808,755,18.9,39970.0,883.0,1
0,1731,722,20.0,50188.0,751.0,1
0,3251,1424,17.1,44783.0,2084.0,1
0,1771,745,26.1,36250.0,1003.0,0
0,4667,1979,28.0,38657.0,2507.0,1
0,3956,1618,22.8,39798.0,1813.0,0
0,3927,1594,11.3,51719.0,1113.0,1
0,3656,1582,7.9,48015.0,1349.0,1
0,4133,1713,11.2,65339.0,1201.0,0
0,4032,1685,20.2,54824.0,1616.0,1
0,3129,1277,18.7,52000.0,1193.0,0
0,2127,869,11.3,65302.0,622.0,0
0,3917,1653,18.5,49531.0,1827.0,0
1,2011,772,31.1,41385.0,1120.0,1
0,3279,1305,14.2,52072.0,1125.0,0
0,3144,1358,10.0,76964.0,886.0,0
1,1524,591,20.4,56364.0,445.0,0
1,1517,601,41.1,27214.0,985.0,0
1,1686,711,31.3,35493.0,973.0,1
0,1736,701,16.0,49550.0,746.0,0
0,1846,753,9.8,79271.0,479.0,1
0,3684,1542,22.0,54750.0,1441.0,0
0,1925,777,4.3,56852.0,794.0,1
0,1903,737,20.7,61466.0,911.0,1
0,3180,1282,15.1,43021.0,1373.0,1
0,3809,1537,15.4,60282.0,1488.0,0
0,1681,727,22.7,46964.0,842.0,0
0,1408,592,18.7,56688.0,568.0,0
0,5582,2206,20.9,38564.0,3416.0,0
0,7373,2799,13.4,53121.0,2771.0,0
0,5001,1947,12.6,54808.0,2049.0,0
0,4112,1605,17.8,47644.0,1799.0,0
0,4180,1630,16.3,50313.0,1717.0,0
0,4007,1517,9.0,59779.0,1229.0,0
0,4643,1796,11.3,63942.0,2226.0,0
1,4289,1876,25.6,49402.0,1680.0,0
1,6683,2646,15.8,65506.0,2171.0,1
1,6071,2610,15.1,49883.0,2394.0,1
0,3578,1361,9.8,58000.0,1513.0,0
0,2309,891,16.1,58750.0,1089.0,0
0,4539,1766,15.3,51667.0,1707.0,0
0,3310,1282,19.7,42097.0,1567.0,0
0,4189,1687,17.3,51458.0,1716.0,0
0,5631,2258,15.8,61563.0,1559.0,0
